SKU_ID,Product_Name,Category,Sub_Category,MRP,Store_Price,Lead_Time_Days,Inventory_Turn
DM-A0058,Apparel Item 58,Apparel,Womens,463,277,12,40
DM-G0059,General Item 59,General,Toys,1904,1428,11,32
DM-S0060,Staples Item 60,Staples,Flour,75,63,3,23
DM-S0061,Staples Item 61,Staples,Dal,153,130,1,27
DM-G0062,General Item 62,General,Bedding,942,706,8,36
DM-G0063,General Item 63,General,Kitchen,507,380,11,18
DM-G0064,General Item 64,General,Kitchen,1579,1184,12,17
DM-F0065,FMCG Item 65,FMCG,Shampoo,28,25,5,22
DM-G0066,General Item 66,General,Bedding,988,741,10,18
DM-A0067,Apparel Item 67,Apparel,Womens,504,302,10,37
DM-G0068,General Item 68,General,Kitchen,1402,1051,8,26
DM-G0069,General Item 69,General,Kitchen,633,474,8,24
DM-S0070,Staples Item 70,Staples,Flour,810,688,3,39
DM-A0071,Apparel Item 71,Apparel,Kids,602,361,13,43
DM-G0072,General Item 72,General,Kitchen,1988,1491,7,25
DM-S0073,Staples Item 73,Staples,Rice,469,398,3,21
DM-S0074,Staples Item 74,Staples,Dal,230,195,3,38
DM-S0075,Staples Item 75,Staples,Oil,678,576,1,28
DM-G0076,General Item 76,General,Kitchen,535,401,9,16
DM-F0077,FMCG Item 77,FMCG,Shampoo,153,140,3,22
DM-G0078,General Item 78,General,Bedding,240,180,8,29
DM-A0079,Apparel Item 79,Apparel,Mens,833,499,15,40
DM-S0080,Staples Item 80,Staples,Flour,525,446,1,32
DM-G0081,General Item 81,General,Bedding,1473,1104,9,18
DM-A0082,Apparel Item 82,Apparel,Womens,414,248,12,16
DM-G0083,General Item 83,General,Bedding,626,469,8,28
DM-F0084,FMCG Item 84,FMCG,Soap,203,186,3,35
DM-A0085,Apparel Item 85,Apparel,Mens,972,583,11,24
DM-A0086,Apparel Item 86,Apparel,Womens,272,163,11,25
DM-S0087,Staples Item 87,Staples,Oil,786,668,3,28
DM-S0088,Staples Item 88,Staples,Oil,132,112,1,44
DM-S0089,Staples Item 89,Staples,Flour,200,170,3,25
DM-F0090,FMCG Item 90,FMCG,Biscuits,44,40,5,36
DM-A0091,Apparel Item 91,Apparel,Mens,848,508,14,30
DM-A0092,Apparel Item 92,Apparel,Kids,736,441,12,41
DM-G0093,General Item 93,General,Toys,1351,1013,8,26
DM-F0094,FMCG Item 94,FMCG,Soap,66,60,4,24
DM-F0095,FMCG Item 95,FMCG,Snacks,452,415,4,26
DM-G0096,General Item 96,General,Kitchen,1973,1479,12,36
DM-G0097,General Item 97,General,Toys,1249,936,10,17
DM-A0098,Apparel Item 98,Apparel,Womens,447,268,12,18
DM-S0099,Staples Item 99,Staples,Flour,501,425,1,21
DM-S0100,Staples Item 100,Staples,Flour,615,522,2,37
DM-G0101,General Item 101,General,Bedding,149,111,7,36
DM-S0102,Staples Item 102,Staples,Flour,743,631,3,31
DM-S0103,Staples Item 103,Staples,Rice,849,721,3,17
DM-S0104,Staples Item 104,Staples,Flour,445,378,2,21
DM-F0105,FMCG Item 105,FMCG,Biscuits,365,335,4,37
DM-F0106,FMCG Item 106,FMCG,Soap,41,37,5,22
DM-G0107,General Item 107,General,Toys,876,657,7,15
DM-S0108,Staples Item 108,Staples,Rice,497,422,2,25
DM-G0109,General Item 109,General,Bedding,1810,1357,8,22
DM-G0110,General Item 110,General,Toys,1718,1288,7,35
DM-G0111,General Item 111,General,Bedding,495,371,9,38
DM-A0112,Apparel Item 112,Apparel,Mens,898,538,11,24
DM-F0113,FMCG Item 113,FMCG,Snacks,63,57,5,35
DM-F0114,FMCG Item 114,FMCG,Snacks,432,397,4,28
DM-G0115,General Item 115,General,Bedding,817,612,10,42
DM-S0116,Staples Item 116,Staples,Oil,298,253,2,20
DM-A0117,Apparel Item 117,Apparel,Womens,235,141,10,29
DM-G0118,General Item 118,General,Toys,677,507,9,32
DM-F0119,FMCG Item 119,FMCG,Biscuits,361,332,4,43
DM-A0120,Apparel Item 120,Apparel,Womens,435,261,15,28
DM-F0121,FMCG Item 121,FMCG,Snacks,19,17,5,33
DM-A0122,Apparel Item 122,Apparel,Kids,847,508,14,41
DM-F0123,FMCG Item 123,FMCG,Snacks,202,185,4,38
DM-A0124,Apparel Item 124,Apparel,Kids,318,190,13,17
DM-A0125,Apparel Item 125,Apparel,Kids,1123,673,11,44
DM-G0126,General Item 126,General,Toys,278,208,7,18
DM-S0127,Staples Item 127,Staples,Dal,727,617,3,31
DM-A0128,Apparel Item 128,Apparel,Kids,666,399,11,36
DM-G0129,General Item 129,General,Bedding,955,716,7,19
DM-G0130,General Item 130,General,Bedding,1129,846,9,23
DM-G0131,General Item 131,General,Kitchen,1758,1318,11,17
DM-A0132,Apparel Item 132,Apparel,Womens,635,381,12,31
DM-F0133,FMCG Item 133,FMCG,Snacks,335,308,5,44
DM-F0134,FMCG Item 134,FMCG,Shampoo,114,104,5,22
DM-A0135,Apparel Item 135,Apparel,Womens,229,137,11,30
DM-F0136,FMCG Item 136,FMCG,Snacks,446,410,5,42
DM-F0137,FMCG Item 137,FMCG,Shampoo,277,254,5,43
DM-S0138,Staples Item 138,Staples,Oil,316,268,1,41
DM-G0139,General Item 139,General,Kitchen,1800,1350,7,18
DM-S0140,Staples Item 140,Staples,Oil,997,847,1,39
DM-G0141,General Item 141,General,Kitchen,1181,885,9,44
DM-A0142,Apparel Item 142,Apparel,Kids,948,568,14,22
DM-G0143,General Item 143,General,Toys,317,237,12,45
DM-F0144,FMCG Item 144,FMCG,Soap,439,403,5,26
DM-A0145,Apparel Item 145,Apparel,Mens,238,142,11,18
DM-A0146,Apparel Item 146,Apparel,Womens,471,282,12,44
DM-F0147,FMCG Item 147,FMCG,Biscuits,104,95,4,27
DM-F0148,FMCG Item 148,FMCG,Snacks,408,375,4,33
DM-G0149,General Item 149,General,Kitchen,1388,1041,9,38
DM-A0150,Apparel Item 150,Apparel,Kids,404,242,13,15
DM-G0151,General Item 151,General,Kitchen,484,363,8,20
DM-A0152,Apparel Item 152,Apparel,Womens,295,177,13,21
DM-S0153,Staples Item 153,Staples,Rice,812,690,1,34
DM-S0154,Staples Item 154,Staples,Flour,346,294,3,28
DM-S0155,Staples Item 155,Staples,Oil,389,330,1,35
DM-A0156,Apparel Item 156,Apparel,Kids,662,397,11,20
DM-S0157,Staples Item 157,Staples,Dal,85,72,3,34
DM-F0158,FMCG Item 158,FMCG,Snacks,220,202,5,43
DM-F0159,FMCG Item 159,FMCG,Snacks,317,291,3,26
DM-G0160,General Item 160,General,Kitchen,276,207,7,25
DM-G0161,General Item 161,General,Bedding,842,631,9,22
DM-F0162,FMCG Item 162,FMCG,Shampoo,441,405,3,16
DM-A0163,Apparel Item 163,Apparel,Kids,371,222,15,37
DM-G0164,General Item 164,General,Bedding,1095,821,8,31
DM-S0165,Staples Item 165,Staples,Flour,572,486,3,28
DM-F0166,FMCG Item 166,FMCG,Soap,340,312,5,29
DM-G0167,General Item 167,General,Bedding,1554,1165,11,30
DM-S0168,Staples Item 168,Staples,Dal,152,129,3,22
DM-G0169,General Item 169,General,Bedding,1170,877,10,18
DM-A0170,Apparel Item 170,Apparel,Womens,828,496,12,39
DM-G0171,General Item 171,General,Bedding,649,486,9,15
DM-F0172,FMCG Item 172,FMCG,Soap,381,350,4,30
DM-G0173,General Item 173,General,Toys,469,351,12,28
DM-F0174,FMCG Item 174,FMCG,Biscuits,37,34,3,36
DM-F0175,FMCG Item 175,FMCG,Snacks,226,207,4,20
DM-G0176,General Item 176,General,Bedding,1582,1186,7,35
DM-S0177,Staples Item 177,Staples,Rice,883,750,3,45
DM-S0178,Staples Item 178,Staples,Rice,150,127,2,17
DM-S0179,Staples Item 179,Staples,Oil,858,729,3,43
DM-A0180,Apparel Item 180,Apparel,Womens,385,231,15,41
DM-F0181,FMCG Item 181,FMCG,Snacks,233,214,5,32
DM-G0182,General Item 182,General,Toys,1660,1245,12,27
DM-A0183,Apparel Item 183,Apparel,Womens,475,285,10,16
DM-F0184,FMCG Item 184,FMCG,Soap,74,68,3,18
DM-S0185,Staples Item 185,Staples,Dal,134,113,1,39
DM-F0186,FMCG Item 186,FMCG,Biscuits,482,443,4,42
DM-F0187,FMCG Item 187,FMCG,Soap,248,228,3,32
DM-F0188,FMCG Item 188,FMCG,Soap,152,139,3,39
DM-F0189,FMCG Item 189,FMCG,Biscuits,149,137,3,17
DM-G0190,General Item 190,General,Kitchen,821,615,8,15
DM-F0191,FMCG Item 191,FMCG,Soap,18,16,3,21
DM-A0192,Apparel Item 192,Apparel,Mens,1136,681,10,39
DM-F0193,FMCG Item 193,FMCG,Soap,147,135,3,28
DM-G0194,General Item 194,General,Bedding,1771,1328,7,34
DM-F0195,FMCG Item 195,FMCG,Shampoo,27,24,3,43
DM-F0196,FMCG Item 196,FMCG,Shampoo,483,444,3,41
DM-G0197,General Item 197,General,Kitchen,708,531,11,31
DM-A0198,Apparel Item 198,Apparel,Mens,686,411,13,18
DM-S0199,Staples Item 199,Staples,Flour,990,841,1,45
DM-S0200,Staples Item 200,Staples,Rice,910,773,2,28
DM-A0201,Apparel Item 201,Apparel,Kids,862,517,14,44
DM-S0202,Staples Item 202,Staples,Flour,196,166,1,24
DM-S0203,Staples Item 203,Staples,Oil,493,419,3,40
DM-G0204,General Item 204,General,Toys,906,679,11,18
DM-A0205,Apparel Item 205,Apparel,Mens,406,243,11,29
DM-G0206,General Item 206,General,Bedding,1898,1423,7,20
DM-S0207,Staples Item 207,Staples,Flour,884,751,1,39
DM-S0208,Staples Item 208,Staples,Flour,795,675,2,15
DM-F0209,FMCG Item 209,FMCG,Snacks,129,118,5,19
DM-F0210,FMCG Item 210,FMCG,Snacks,47,43,4,33
DM-A0211,Apparel Item 211,Apparel,Womens,416,249,15,42
DM-F0212,FMCG Item 212,FMCG,Shampoo,25,23,5,41
DM-G0213,General Item 213,General,Toys,756,567,9,26
DM-S0214,Staples Item 214,Staples,Rice,781,663,1,16
DM-S0215,Staples Item 215,Staples,Dal,212,180,2,36
DM-A0216,Apparel Item 216,Apparel,Womens,1050,630,11,34
DM-S0217,Staples Item 217,Staples,Oil,861,731,2,40
DM-S0218,Staples Item 218,Staples,Flour,325,276,2,31
DM-S0219,Staples Item 219,Staples,Oil,349,296,3,26
DM-A0220,Apparel Item 220,Apparel,Womens,591,354,13,28
DM-A0221,Apparel Item 221,Apparel,Womens,524,314,13,35
DM-F0222,FMCG Item 222,FMCG,Snacks,411,378,3,21
DM-F0223,FMCG Item 223,FMCG,Shampoo,326,299,4,31
DM-S0224,Staples Item 224,Staples,Flour,871,740,3,34
DM-F0225,FMCG Item 225,FMCG,Biscuits,92,84,5,30
DM-S0226,Staples Item 226,Staples,Flour,761,646,3,20
DM-G0227,General Item 227,General,Kitchen,1591,1193,11,45
DM-F0228,FMCG Item 228,FMCG,Shampoo,219,201,3,16
DM-F0229,FMCG Item 229,FMCG,Snacks,245,225,5,32
DM-F0230,FMCG Item 230,FMCG,Shampoo,500,460,3,38
DM-F0231,FMCG Item 231,FMCG,Soap,379,348,4,21
DM-F0232,FMCG Item 232,FMCG,Biscuits,429,394,5,30
DM-A0233,Apparel Item 233,Apparel,Womens,850,510,15,18
DM-G0234,General Item 234,General,Bedding,1684,1263,7,30
DM-F0235,FMCG Item 235,FMCG,Snacks,100,92,4,18
DM-F0236,FMCG Item 236,FMCG,Shampoo,197,181,4,19
DM-F0237,FMCG Item 237,FMCG,Biscuits,106,97,3,40
DM-G0238,General Item 238,General,Bedding,710,532,12,28
DM-A0239,Apparel Item 239,Apparel,Kids,519,311,10,34
DM-S0240,Staples Item 240,Staples,Dal,562,477,3,16
DM-F0241,FMCG Item 241,FMCG,Biscuits,388,356,4,32
DM-A0242,Apparel Item 242,Apparel,Womens,1023,613,11,31
DM-F0243,FMCG Item 243,FMCG,Shampoo,259,238,5,21
DM-S0244,Staples Item 244,Staples,Oil,471,400,2,35
DM-F0245,FMCG Item 245,FMCG,Snacks,405,372,3,30
DM-F0246,FMCG Item 246,FMCG,Snacks,252,231,5,44
DM-G0247,General Item 247,General,Bedding,1053,789,10,33
DM-A0248,Apparel Item 248,Apparel,Mens,285,171,12,24
DM-S0249,Staples Item 249,Staples,Dal,94,79,1,17
DM-F0250,FMCG Item 250,FMCG,Snacks,160,147,4,42
DM-G0251,General Item 251,General,Bedding,705,528,7,26
DM-A0252,Apparel Item 252,Apparel,Kids,633,379,11,39
DM-S0253,Staples Item 253,Staples,Flour,402,341,2,22
DM-G0254,General Item 254,General,Kitchen,1566,1174,8,35
DM-G0255,General Item 255,General,Toys,322,241,10,26
DM-G0256,General Item 256,General,Bedding,1226,919,11,33
DM-G0257,General Item 257,General,Toys,863,647,7,25
DM-F0258,FMCG Item 258,FMCG,Snacks,191,175,4,22
DM-G0259,General Item 259,General,Bedding,1889,1416,7,24
DM-A0260,Apparel Item 260,Apparel,Kids,840,504,13,44
DM-S0261,Staples Item 261,Staples,Dal,617,524,3,39
DM-A0262,Apparel Item 262,Apparel,Kids,1184,710,13,18
DM-A0263,Apparel Item 263,Apparel,Kids,899,539,12,44
DM-A0264,Apparel Item 264,Apparel,Kids,779,467,14,19
DM-A0265,Apparel Item 265,Apparel,Mens,1104,662,15,37
DM-F0266,FMCG Item 266,FMCG,Snacks,241,221,3,34
DM-F0267,FMCG Item 267,FMCG,Soap,211,194,3,45
DM-F0268,FMCG Item 268,FMCG,Soap,275,253,5,32
DM-A0269,Apparel Item 269,Apparel,Kids,994,596,12,16
DM-G0270,General Item 270,General,Toys,1420,1065,8,44
DM-A0271,Apparel Item 271,Apparel,Mens,390,234,11,38
DM-A0272,Apparel Item 272,Apparel,Womens,277,166,15,26
DM-S0273,Staples Item 273,Staples,Flour,840,714,2,37
DM-F0274,FMCG Item 274,FMCG,Shampoo,360,331,3,31
DM-F0275,FMCG Item 275,FMCG,Biscuits,266,244,5,45
DM-G0276,General Item 276,General,Toys,933,699,9,31
DM-F0277,FMCG Item 277,FMCG,Soap,157,144,5,39
DM-A0278,Apparel Item 278,Apparel,Womens,1095,657,14,25
DM-F0279,FMCG Item 279,FMCG,Shampoo,31,28,4,17
DM-A0280,Apparel Item 280,Apparel,Womens,366,219,14,36
DM-F0281,FMCG Item 281,FMCG,Shampoo,440,404,4,41
DM-S0282,Staples Item 282,Staples,Flour,590,501,3,44
DM-A0283,Apparel Item 283,Apparel,Womens,630,378,10,39
DM-S0284,Staples Item 284,Staples,Dal,296,251,3,37
DM-A0285,Apparel Item 285,Apparel,Kids,597,358,11,40
DM-F0286,FMCG Item 286,FMCG,Snacks,466,428,3,44
DM-F0287,FMCG Item 287,FMCG,Snacks,205,188,5,21
DM-S0288,Staples Item 288,Staples,Rice,550,467,2,31
DM-S0289,Staples Item 289,Staples,Flour,331,281,3,23
DM-A0290,Apparel Item 290,Apparel,Mens,604,362,12,33
DM-A0291,Apparel Item 291,Apparel,Kids,288,172,15,17
DM-S0292,Staples Item 292,Staples,Flour,239,203,2,27
DM-G0293,General Item 293,General,Kitchen,1396,1047,8,17
DM-A0294,Apparel Item 294,Apparel,Mens,999,599,12,40
DM-S0295,Staples Item 295,Staples,Dal,274,232,1,31
DM-F0296,FMCG Item 296,FMCG,Biscuits,486,447,4,31
DM-F0297,FMCG Item 297,FMCG,Snacks,228,209,4,22
DM-F0298,FMCG Item 298,FMCG,Soap,429,394,5,35
DM-A0299,Apparel Item 299,Apparel,Mens,753,451,14,23
DM-F0300,FMCG Item 300,FMCG,Shampoo,281,258,3,44
DM-F0301,FMCG Item 301,FMCG,Soap,266,244,5,15
DM-A0302,Apparel Item 302,Apparel,Kids,1128,676,14,24
DM-G0303,General Item 303,General,Kitchen,1199,899,10,45
DM-S0304,Staples Item 304,Staples,Oil,147,124,2,28
DM-F0305,FMCG Item 305,FMCG,Shampoo,248,228,3,44
DM-F0306,FMCG Item 306,FMCG,Biscuits,449,413,5,38
DM-A0307,Apparel Item 307,Apparel,Kids,704,422,11,28
DM-S0308,Staples Item 308,Staples,Oil,264,224,1,38
DM-S0309,Staples Item 309,Staples,Dal,970,824,2,45
DM-F0310,FMCG Item 310,FMCG,Shampoo,56,51,4,24
DM-S0311,Staples Item 311,Staples,Flour,242,205,1,24
DM-A0312,Apparel Item 312,Apparel,Womens,1178,706,10,23
DM-G0313,General Item 313,General,Toys,357,267,11,38
DM-F0314,FMCG Item 314,FMCG,Snacks,11,10,3,39
DM-G0315,General Item 315,General,Bedding,1857,1392,12,45
DM-A0316,Apparel Item 316,Apparel,Womens,205,123,13,25
DM-A0317,Apparel Item 317,Apparel,Mens,426,255,10,28
DM-F0318,FMCG Item 318,FMCG,Snacks,474,436,3,41
DM-F0319,FMCG Item 319,FMCG,Biscuits,400,368,4,23
DM-S0320,Staples Item 320,Staples,Oil,852,724,1,22
DM-F0321,FMCG Item 321,FMCG,Biscuits,417,383,4,45
DM-A0322,Apparel Item 322,Apparel,Womens,889,533,15,16
DM-F0323,FMCG Item 323,FMCG,Soap,477,438,4,22
DM-F0324,FMCG Item 324,FMCG,Soap,62,57,4,20
DM-F0325,FMCG Item 325,FMCG,Snacks,203,186,3,31
DM-S0326,Staples Item 326,Staples,Flour,599,509,1,34
DM-G0327,General Item 327,General,Bedding,361,270,8,15
DM-G0328,General Item 328,General,Toys,1701,1275,9,31
DM-S0329,Staples Item 329,Staples,Flour,183,155,2,19
DM-S0330,Staples Item 330,Staples,Oil,72,61,2,42
DM-A0331,Apparel Item 331,Apparel,Kids,333,199,12,34
DM-A0332,Apparel Item 332,Apparel,Womens,280,168,11,17
DM-F0333,FMCG Item 333,FMCG,Shampoo,356,327,3,20
DM-F0334,FMCG Item 334,FMCG,Soap,109,100,3,22
DM-S0335,Staples Item 335,Staples,Oil,801,680,2,31
DM-A0336,Apparel Item 336,Apparel,Kids,278,166,10,41
DM-F0337,FMCG Item 337,FMCG,Biscuits,405,372,3,36
DM-A0338,Apparel Item 338,Apparel,Mens,236,141,13,18
DM-A0339,Apparel Item 339,Apparel,Mens,439,263,10,26
DM-A0340,Apparel Item 340,Apparel,Womens,361,216,14,41
DM-S0341,Staples Item 341,Staples,Oil,650,552,3,19
DM-S0342,Staples Item 342,Staples,Oil,110,93,2,28
DM-S0343,Staples Item 343,Staples,Dal,190,161,1,44
DM-G0344,General Item 344,General,Toys,807,605,9,29
DM-A0345,Apparel Item 345,Apparel,Mens,444,266,14,43
DM-F0346,FMCG Item 346,FMCG,Biscuits,364,334,3,37
DM-F0347,FMCG Item 347,FMCG,Biscuits,128,117,3,30
DM-F0348,FMCG Item 348,FMCG,Shampoo,370,340,4,24
DM-S0349,Staples Item 349,Staples,Dal,209,177,1,21
DM-A0350,Apparel Item 350,Apparel,Kids,1046,627,10,15
DM-G0351,General Item 351,General,Toys,536,402,12,23
DM-S0352,Staples Item 352,Staples,Dal,194,164,2,21
DM-F0353,FMCG Item 353,FMCG,Biscuits,469,431,5,31
DM-A0354,Apparel Item 354,Apparel,Kids,492,295,15,16
DM-G0355,General Item 355,General,Kitchen,1739,1304,10,18
DM-G0356,General Item 356,General,Toys,996,747,8,44
DM-A0357,Apparel Item 357,Apparel,Womens,253,151,14,22
DM-A0358,Apparel Item 358,Apparel,Kids,381,228,15,33
DM-F0359,FMCG Item 359,FMCG,Soap,19,17,5,37
DM-S0360,Staples Item 360,Staples,Rice,117,99,2,37
DM-F0361,FMCG Item 361,FMCG,Shampoo,200,184,3,21
DM-S0362,Staples Item 362,Staples,Flour,565,480,1,32
DM-S0363,Staples Item 363,Staples,Dal,839,713,3,37
DM-G0364,General Item 364,General,Bedding,1568,1176,7,27
DM-S0365,Staples Item 365,Staples,Dal,595,505,2,17
DM-A0366,Apparel Item 366,Apparel,Kids,351,210,13,35
DM-F0367,FMCG Item 367,FMCG,Soap,282,259,4,27
DM-S0368,Staples Item 368,Staples,Flour,947,804,3,34
DM-F0369,FMCG Item 369,FMCG,Soap,219,201,5,26
DM-A0370,Apparel Item 370,Apparel,Mens,796,477,10,16
DM-F0371,FMCG Item 371,FMCG,Shampoo,189,173,3,22
DM-A0372,Apparel Item 372,Apparel,Mens,206,123,15,30
DM-A0373,Apparel Item 373,Apparel,Kids,208,124,13,36
DM-G0374,General Item 374,General,Bedding,459,344,8,27
DM-G0375,General Item 375,General,Bedding,1704,1278,10,32
DM-F0376,FMCG Item 376,FMCG,Snacks,130,119,3,42
DM-S0377,Staples Item 377,Staples,Rice,934,793,3,21
DM-F0378,FMCG Item 378,FMCG,Biscuits,293,269,4,21
DM-G0379,General Item 379,General,Kitchen,991,743,11,34
DM-S0380,Staples Item 380,Staples,Oil,582,494,2,17
DM-G0381,General Item 381,General,Toys,1202,901,10,18
DM-G0382,General Item 382,General,Toys,907,680,9,22
DM-G0383,General Item 383,General,Bedding,1165,873,10,45
DM-G0384,General Item 384,General,Bedding,1181,885,10,27
DM-A0385,Apparel Item 385,Apparel,Mens,453,271,15,21
DM-F0386,FMCG Item 386,FMCG,Biscuits,404,371,5,35
DM-G0387,General Item 387,General,Toys,139,104,9,38
DM-G0388,General Item 388,General,Bedding,435,326,12,38
DM-F0389,FMCG Item 389,FMCG,Soap,20,18,5,27
DM-A0390,Apparel Item 390,Apparel,Womens,1049,629,11,36
DM-S0391,Staples Item 391,Staples,Rice,217,184,3,40
DM-F0392,FMCG Item 392,FMCG,Biscuits,118,108,4,30
DM-A0393,Apparel Item 393,Apparel,Womens,372,223,10,26
DM-S0394,Staples Item 394,Staples,Dal,180,153,1,23
DM-S0395,Staples Item 395,Staples,Flour,157,133,3,26
DM-G0396,General Item 396,General,Bedding,1463,1097,11,20
DM-F0397,FMCG Item 397,FMCG,Shampoo,354,325,3,31
DM-S0398,Staples Item 398,Staples,Flour,557,473,2,44
DM-A0399,Apparel Item 399,Apparel,Womens,819,491,11,37
DM-F0400,FMCG Item 400,FMCG,Snacks,474,436,4,21
DM-S0401,Staples Item 401,Staples,Rice,986,838,2,18
DM-A0402,Apparel Item 402,Apparel,Womens,1050,630,12,26
DM-F0403,FMCG Item 403,FMCG,Soap,443,407,3,20
DM-G0404,General Item 404,General,Kitchen,1194,895,7,43
DM-S0405,Staples Item 405,Staples,Flour,956,812,3,35
DM-F0406,FMCG Item 406,FMCG,Soap,202,185,4,34
DM-S0407,Staples Item 407,Staples,Flour,126,107,3,42
DM-G0408,General Item 408,General,Bedding,115,86,8,37
DM-F0409,FMCG Item 409,FMCG,Biscuits,415,381,5,15
DM-F0410,FMCG Item 410,FMCG,Soap,319,293,4,30
DM-F0411,FMCG Item 411,FMCG,Soap,284,261,3,35
DM-G0412,General Item 412,General,Toys,1653,1239,12,26
DM-F0413,FMCG Item 413,FMCG,Shampoo,236,217,5,37
DM-S0414,Staples Item 414,Staples,Oil,880,748,3,27
DM-F0415,FMCG Item 415,FMCG,Soap,287,264,5,29
DM-A0416,Apparel Item 416,Apparel,Kids,629,377,12,31
DM-F0417,FMCG Item 417,FMCG,Soap,209,192,5,15
DM-A0418,Apparel Item 418,Apparel,Mens,553,331,10,27
DM-F0419,FMCG Item 419,FMCG,Snacks,221,203,5,29
DM-A0420,Apparel Item 420,Apparel,Mens,792,475,15,25
DM-A0421,Apparel Item 421,Apparel,Mens,460,276,14,29
DM-F0422,FMCG Item 422,FMCG,Shampoo,324,298,3,22
DM-F0423,FMCG Item 423,FMCG,Soap,76,69,4,43
DM-S0424,Staples Item 424,Staples,Oil,480,408,2,21
DM-S0425,Staples Item 425,Staples,Rice,245,208,2,30
DM-G0426,General Item 426,General,Kitchen,1699,1274,9,35
DM-G0427,General Item 427,General,Kitchen,878,658,8,15
DM-A0428,Apparel Item 428,Apparel,Mens,1178,706,15,23
DM-A0429,Apparel Item 429,Apparel,Mens,781,468,12,34
DM-A0430,Apparel Item 430,Apparel,Womens,664,398,13,16
DM-S0431,Staples Item 431,Staples,Dal,468,397,3,20
DM-G0432,General Item 432,General,Bedding,532,399,7,34
DM-G0433,General Item 433,General,Bedding,868,651,8,40
DM-F0434,FMCG Item 434,FMCG,Shampoo,330,303,5,38
DM-G0435,General Item 435,General,Toys,876,657,12,30
